CAS,NOMBRE QUIMICO,FORMULA QUIMICA,OTROS NOMBRES
5836-29-3,"2H-1-Benzopiran-2-ona, 4-hidroxi-3-(1,2,3,4-tetrahidro-1-naftalenil)-",C19 H16 O3,"Cumarina, 4-hidroxi-3-(1,2,3,4-tetrahidro-1-naftil);  3-(1,2,3,4-tetrahidro-1-naftil)-4-hidroxicoumarina; 3-(.alfa.-Tetralinil)-4-hidroxicoumarina; 3-(alpha -Tetralinyl)-4-hydroxycoumarin; 3-(alpha -Tetralyl)-4-Hydroxycoumarin; 4-Hydroxy-3-(1 2 3 4-tetrahydro-1-naphthyl)coumarin; Coumatetralyl; Endrocide; Murisan A; Racumin; Racumin 57; Rodentin;Coumarin 4-hydroxy-3-(1234-tetrahydro-1-naphthyl)- (6CI7CI8CI); 3-(1234-Tetrahydro-1-naphthyl)-4-hydroxycoumarin;Coumatetralil (coumarina)"
584-02-1,3-pentanol,C5H12O,1-etil-1-propanol; 1-alcohol etilpropil; 3-alcohol pentilo; carbinol dietílico;  alcohol sec-amílico; sec-pentanol; alcohol sec-amilo; Diethyl carbinol; NSC 8654; sec-Amyl alcohol; sec-Pentanol; sec-Pentyl alcohol;1-Ethyl-1-propanol; 1-Ethylpropyl alcohol; 3-Pentyl alcohol;3-pentanol
584-03-2,"1,2-butanodiol",C4H10O2,"(+-)-Butano-1,2-diol; 1,2-butilenglicol; 1,2-Dihidroxibutano; DL-1 2-Butanediol; NSC 24242;(+-)-Butane-12-diol; 12-Butylene glycol; 12-Dihydroxybutane;BUTANODIOL"
584-08-7,"Ácido carbónico, sal de potasio (1:2)",CH2O3.2K,"ácido carbónico, sal dipotásica; carbonato de potasio; carbonato  dipotásico;  sal de tártaro; FG; Pearl ash; Potash; Potaáium carbonate; Potaáium carbonate (2:1); Potaáium carbonate (K2(CO3)); Salt of tartar; Sorb KX 35;Carbonic acid dipotaáium salt (8CI9CI); Potaáium carbonate (K2CO3) (6CI7CI); Dipotaáium carbonate;Carbonato de Potasio"
584-13-4,"4h-1,2,4-triazol-4-amina",C2 H4 N4,4H-1 2 4-Triazole  4-amino- (8CI);1 2 4-Triazol-4-amine;1 2 4-Triazol-4-ylamine;1 2 4-Triazole-4-amine;1-Amino-1 3 4-triazole;1-Amino-1H-1 3 4-triazole;4-Amino-1 2 4(4H)-triazole;4-Amino-1 2 4-triazole;4-Amino-4H-1 2 4-triazole;NSC 3263;NSC 7242;Nulo
584-79-2,"Ácido ciclopropanocarboxílico, 2,2-dimetil-3-(2-metil-1-propen-1-il) -, 2-metil-4-oxo-3-(2-propen-1-il)-2-ciclopenten - 1-il éster",C19H26O3,"Ácido Chrysanthemummonocarboxilico,3-alil-2-metil-4-oxo-2-ciclopenten-1-il éster;  ácido ciclopropanocarboxílico, 2,2-dimetil-3-(2-metil-1-propenil);  2 -metil-4-oxo-3-(2-propenil)-2-ciclopenten-1-il éster ;Ácido Crisantemummonocarboxilico,3-alil-2-metil-4-oxo-2-ciclopenten-1-il éster; ácido ciclopropanocarboxílico, 2,2-dimetil-3-(2-metil-1-propenil) -, 2 -metil-4-oxo-3-(2-propenil)-2-ciclopenten-1-il éster; ácido ciclopropanocarboxílico, 2,2-dimetil-3-(2-metilpropenil) -, éster con 2-alil -4-hidroxi-3-metil-2-ciclopenten-1-ona; 2-ciclopenten-1-ona, 2-alil-4-hidroxi-3-metil-, 2,2-dimetil-3-( 2-metilpropenil) ciclopropanocarboxilato ; 2-Cyclopenten-1-one  2-allyl-4-hydroxy-3-methyl- 2 2-dimethyl-3-(2-methylpropenyl)cyclopropanecarboxylate (8CI); (+-)-3-Allyl-4-keto-2-methylcyclopent-2-enyl (+-)-cis trans-chrysanthemummonocarboxylate; (+-)-Allerethonyl (+-)-cis trans-chrysanthemate; 2 2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid  ester with 2-allyl-4-hydroxy-3-methyl-2-cyclopenten-1-one; 2-Ally;Aletrina"
584-84-9,"Benceno, 2,4-Diisocianato de 1-metil -",C9H6N2O2,"Ácido isociánico, 4-metil-m-éster fenileno; 1,3-Diisocianato-4-metilbenceno; 2,4-Diisocianato-1-metilbenceno; 2,4-Diisocianato de tolueno; 2 4-Diisocyanatotoluene; 2 4-TDI; 2 4-Toluene diisocyanate; 2 4-Toluylene diisocyanate; 2 4-Tolylene diisocyanate; 4-Methyl-1 3-phenylene diisocyanate; 4-Methyl-m-phenylene diisocyanate; 4-Methyl-m-phenylene isocyanate; NSC 4791; NSC 56759; TDI 100; Toluene 2 4-diisocyanate;Isocyanic acid 4-methyl-m-phenylene ester (8CI); 13-Diisocyanato-4-methylbenzene; 24-Diisocyanato-1-methylbenzene;2,4-diisocianato de tolueno"
585-71-7,"Benceno, (1-bromoetil) -",C8H9Br,(1-bromoetil) benceno;  (+-) - (1-bromoetil) benceno; (+-)-1-Bromo-1-feniletano; (+-)- 1-bromuro de feniletilo;  1-Bromo-1-feniletano; 1-bromuro de fenetilo; (+-)-1-Phenylethyl bromide; (alpha -Bromoethyl)benzene; 1-(1-Bromoethyl)benzene; 1-Bromo-1-phenylethane; 1-Phenethyl bromide; 1-Phenyl-1-bromoethane; 1-Phenylbromoethane; 1-Phenylethyl bromide; NSC 8052; alpha -Methylbenzyl bromide; alpha -Phenethyl bromide; alpha -Phenylethyl bromide;(1-Bromoethyl)benzene; (+-)-(1-Bromoethyl)benzene; (+-)-1-Bromo-1-phenylethane;1-BROMOETIL BENCENO
585-86-4,"D-glucitol, 4-O-beta-D-galactopiranosil- ",C12 H24 O11,"Glucitol, 4-O-.beta.-D-galactopiranosil-, D-(8CI);áLactitol (6CI, 7CI);áFinlac DC;áImportal;áLactiobiosit;áLactit;áLactit M;áLactite;áLactitol ACM 50;áLactitol LC 0;áLactosit;áLactositol;áLacti;áLacti (sacárido);áLacti M;áLacti-Tab;áMilchen;áMiruhen;Lactitol CM 50"
5858-81-1,"Ácido 2-naftalenocarboxílico, 3-hidroxi-4-[2 - (4-metil-2-sulfofenil) diazenil] -, sal de sodio (1:2)",C18H14N2O6S.2Na,"Ácido 2-naftalenocarboxílico, 3-hidroxi-4-[(4-metil-2-sulfofenil) azo] -, sal disódica; pigmento rojo 57; 11070 Red; C.I. 15850; D and C Red 6; D and C Red No. 6; D&C Red 6; D&C Red No. 6; FD and C Red No. 6; FD&C Red No. 6; Fuji Carmine 6B; Irgalite Red 4B; Irgalite Rubine PB; Isol Bona Rubine BK; Isol Bona Rubine BKS; Isol Bona Rubine KBK; Isol Ruby BK; Isol Ruby BKS; Japan Red 201; Japan Red No. 201; Kromon Permanent Red 4B; LC 303; Lithol Rubine B;Lithol Rubine BNA;Lithol Rubine Red Toner DK;Permanent Red 4B;Permanent Red F 6R;Pigment Red 57;Pigment Rubine B;Pigment Rubine BCL;Plastol Rubine BC;Red 201;Red No. 201;Resamine Rubine BC;Rubine Red RR 1253;Segnale Red 3R;2-Naphthalenecarboxylic acid 3-hydroxy-4-[(4-methyl-2-sulfophenyl)azo]- disodium salt (9CI); C.I. Pigment Red 57 (7CI); C.I. Pigment Red 57 disodium salt (8CI);COLOR ROJO No. 6 AMYC"
586-62-9,"Ciclohexeno, 1-metil-4-(1-metiletiliden) -",C10H16,"p-menta-1, 4 (8)-dieno; 4-isopropilideno-1-metilciclohexeno; Isoterpineno; Isoterpinene; Nofmer TP; Terpinolen; Terpinolene; alpha -Terpinolene; delta -Terpinene;p-Mentha-14(8)-diene (8CI); 1-Methyl-4-(1-methylethylidene)-cyclohexene; 4-Isopropylidene-1-methylcyclohexene;Terpinoleno"
586-78-7,"Benceno, 1-bromo-4-nitro -",C6H4BrNO2,1-Bromo-4-nitrobenceno; 4-Bromo-1-nitrobenceno; 4-Bromonitrobenceno; 4-Nitro-1-bromobenceno; 4-Nitrobromobenceno; bromuro de 4-nitrofenil; p-Bromonitrobenceno; 4-Nitro-1-bromobenzene; 4-Nitrobromobenzene; 4-Nitrophenyl bromide; NSC 3526; p-Bromonitrobenzene; p-Nitrobromobenzene; p-Nitrophenyl bromide;1-Bromo-4-nitrobenzene; 4-Bromo-1-nitrobenzene; 4-Bromonitrobenzene;Nitrobromobenceno
586-95-8,4-piridinmetanol,C6 H7 N O,(Pyridin-4-yl)methanol;4-(Hydroxymethyl)pyridine;4-Picolyl alcohol;4-Pyridinecarbinol;4-Pyridylcarbinol;4-Pyridylmethanol;4-Pyridylmethyl alcohol;NSC 126907;NSC 26024;NSC 49167;Nulo
587-23-5,"Ácido Bencenoacetico alfa-hidroxi-, compd. con 1,3,5,7-tetraazatriciclo [3.3.1.13,7] decano (1:1) ",C8 H8 O3 . C6 H12 N4,"Hexametilentetramina, Compd. con ácido mandélico (4CI);Ácido mandélico, Compd. con hexametilentetramina (01:01) (7CI, 8CI);Ácido mandélico, sal con (CH2) 6N4 (6CI);á1,3,5,7-Tetraazatriciclo [3.3.1.13,7] decano, mono (.Alfa.-hidroxibenzeneacetate) (9CI);áHexametilentetramina, monomandelate (8CI);áCedulamin;áDiuramino;áHexametileneamino mandelato;áHexametilentetramina mandelato;áHexametilentetramina fenilglycolate;áHexydaline;áMandacon;áMandalay;áMandastat;áMandelamino;Ácido mandélico sal metenamina;áMandopan;áMandoz;áMandural;áMandurin;áMantropine;áMetavin;áMetenamina mandelato;áPenelate;áProv.-U-septiembre;áReflujo;áRenelate;áUro-Cedulamin;áUromandelin;áUronamin;áUronamino;áUroqid;Mandelato de metenamina "
587-26-8,"Ácido carbónico, sal de lantano (3 +)  (3:2)",CH2O3.2/3La,Carbonato de lantano; Fosrenol; Sesquicarbonato de lantano; Lanthanum carbonate (2:3); Lanthanum carbonate (La2(CO3)3); Lanthanum sesquicarbonate; Lanthanum(3+) carbonate; Phosbloc;Lanthanum carbonate (6CI7CI); Fosrenol; Foznol;CARBONATO DE LANTANO
1450959,"Ácido biciclo[2.2.1]heptano-1-metanosulfónico, 7,7-dimetil-2-oxo-",C10 H16 O4 S,10-Bornanesulfonic acid  2-oxo-  (˜)- (8CI);Bicyclo[2.2.1]heptane-1-methanesulfonic acid 7 7-dimethyl-2-oxo-  (˜)-;(RS)-10-Camphorsulfonic acid;(˜)-Camphor-10-sulfonic acid;(˜)-Camphorsulfonic acid;2-Oxo-10-bornanesulfonic acid;Camphor-10-sulfonic acid;DL-10-Camphorsulfonic acid;DL-Camphorsulfonic acid;Nulo
5874-97-5,"1,3-Bencenodiol, 5-[1-hidroxi-2-[(1-metiletil)amino]etil]-, sulfato (2:1)",C11 H17 N O3 . 1/2 H2 O4 S,"1,3-benzenediol, 5 - [1-hidroxi-2-[(1-metil) amino] etil] -, sulfato (2:1) (sal) (9CI);Alcohol bencílico, 3,5-dihidroxi-.Alfa .- [(isopropilamino) metil] -, sulfato (2:1) (sal) (8CI);á(+-)-Sulfato de orciprenalina;á1 - (3,5-dihidroxifenil)-1-hidroxi-2-sulfato de isopropilaminoetane;á3,5-dihidroxi-.Alfa .- [(isopropilamino) metil] sulfato de alcohol bencílico (2:1) (sal);áALOTEC;áAlupent;áAstmopent;áMetaprel;áMetaproterenol sulfato;áMetaproterenol sulfato (2:1) (sal);áNovasmasol;áOrciprenalina sulfato;áOrciprenalina sulfato (2:1) (sal);áTh 152;ásulfato de dl-Metaproterenol;ádl-sulfato de orciprenalina; (+-)-Orciprenaline sulfate; 1-(3 5-Dihydroxyphenyl)-1-hydroxy-2-isopropylaminoethane sulfate; 3 5-Dihydroxy-alpha -[(isopropylamino)methyl]benzyl alcohol sulfate (2:1) (salt); Alotec; Alupent; Astmopent; Metaprel; Metaproterenol sulfate; Metaproterenol sulfate (2:1) (salt); Novasmasol; Orciprenaline sulfate; Orciprenaline sulfate (2:1) (salt); Th 152; dl-Metaproterenol sulfate; dl-Orciprenaline sulfate;13-Benzen;Sulfato de 1-(3,5-dihidroxi-fenil)-2- isopropilaminoetanol (Sulfato de metaproterenol). "
5877-42-9,"1-Octin-3-ol, 4-etil -",C10H18O,4-etil-1-octyn 3-ol;  4-etil-3-hidroxi-1-octino; Etiloctinol; NSC 62119;4-Ethyl-1-octyn-3-ol; 4-Ethyl-3-hydroxy-1-octyne; Ethyloctynol;Cholesteryl/Behenyl/Octyldodec
589-34-4,"Hexano, 3-metil -",C7H16,(+-)- 3-metilhexano; 2-Etilpentano; 3-metilhexano; NSC 73937;(+-)-3-Methylhexane; 2-Ethylpentane; 3-Methylhexane;3-metilhexano
589-43-5,"Hexano, 2,4-dimetil-",C8 H18,"(+-)- 2,4-dimetilhexano; 2,4-dimetilhexano; NSC 74171;(+-)-24-Dimethylhexane; 24-Dimethylhexane;2,4-dimetilhexano"
589-59-3,"Ácido butanóico, 3-metil-, 2-metilpropil éster",C9 H18 O2,Isovaleric acid  isobutyl ester (6CI 7CI 8CI);2-Methylpropyl 3-methylbutanoate;2-Methylpropyl 3-methylbutyrate;2-Methylpropyl isovalerate;Isobutyl 3-methylbutanoate;Isobutyl 3-methylbutyrate;Isobutyl isopentanoate;Isobutyl isovalerate;NSC 6993;Nulo
589-98-0,3-octanol,C8 H18 O,(˜)-3-Octanol;1-Ethyl-1-hexanol;DL-3-Octanol;Ethylamylcarbinol;Octan-3-ol;n-Octan-3-ol;Nulo
5894-60-0,"Silano, triclorohexadecil -",C16H33Cl3Si,Cetiltriclorosilano; Hexadeciltriclorosilano;  Triclorohexadecilsilano; NSC 22328; Trichlorohexadecylsilane;Cetyltrichlorosilane; Dynasylan 9016; Hexadecyltrichlorosilane;Hexadeciltricloroxilano
58985-18-5,"Terpineol, dihidro-, acetato",C12 H22 O2,Dihydroterpineol acetate;Dihydroterpinyl acetate;Nulo
59-02-9,"2H-1-benzopirano-6-ol, 3,4-dihidro-2 ,5,7,8-tetrametil-2-[(4R, 8R) -4,8,12-trimetiltridecil] -, (2R) -",C29H50O2,"2H-1-benzopirano-6-ol, 3,4-dihidro-2 ,5,7,8-tetrametil-2-(4,8,12-trimetiltrurocil) -, [2R-[2R * (4R *, 8R *)]]-; (+)-. alfa.-tocoferol; (2R) -3,4-dihidro-2 ,5,7,8-tetrametil-2-[(4R, 8R) -4,8,12 -trimetiltrurocil]-2H-1-benzopirano-6-ol; (2R, 4'R, 8'R) -. alfa.-tocoferol, (R, R, R) -. alfa.-tocoferol; (all-R ) -. alfa.-tocoferol; 5,7,8-Trimetiltocol;2H-1-Benzopyran-6-ol 3 4-dihydro-2 5 7 8-tetramethyl-2-(4 8 12-trimethyltridecyl)-  [2R-[2R*(4R* 8R*)]]-;(2R)-3 4-Dihydro-2 5 7 8-tetramethyl-2-[(4R 8R)-4 8 12-trimethyltridecyl]-2H-1-benzopyran-6-ol;5 7 8-Trimethyltocol;Acros;Almefrol;Biopaá E 20;Cardi-E;Copherol F 1300C;Covitol F 1000;Covitol F 1000-2;Covitol F 1300;Covitol F 1370;Covitol IK 00069;Denamone;E 307;E 307 (tocopherol);E 5-87;E-Oil 1000;EMF 1490;Emipherol;Endo E;Eprolin;Eprolin S;Epsilan;Esorb;Etamican;Etavit;Evitaminum;Ilitia;Irganox E 201;NSC 20812;NatAlc;Natur-E micelle;Phytogermin;Profecundin;Rhenogran Ronotec 50;Ronotec 2001;Spavit E;Syntopherol;Tenox GT 1;Tokopharm;Vascuals;Verrol;Vitaplex E;Vit;Alfa Tocoferol"
59-05-2,"Ácido L-glutámico, N-[4 - [[(2,4-diamino-6-pteridinil) metil] metilamino] benzoil] -",C20H22N8O5,"ácido glutámico, N-[p-[[(2,4-diamino-6-pteridinil) metil] metilamino] benzoil] -, L-(+) -  (+)-Ametopterina; 4-amino-10 -ácido metilfolic;  4-amino-N10-ácido metilfolic; 4-amino-N10-ácido metilpteroylglutamico; Ametopterina; 4-Amino-N10-methylfolic acid; 4-Amino-N10-methylpteroylglutamic acid; Amethopterin; Amethopterine; Antifolan; CL 14377; EMT 25299; Emtexate; Emthexate PF; Emtrexate; L-Amethopterin; L-Methotrexate; Ledertrexate; MTX; Metatrexan; Methotrexat-Ebewe; Methotrexate; Methoxtrexate; Methylaminopterin; Mexate; N-[p-[[2 4-Diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-(+)-glutamic acid;NSC 740;R 9985;Rheumatrex;Trexall;Glutamic acid N-[p-[[(24-diamino-6-pteridinyl)methyl]methylamino]benzoyl]- L-(+)- (8CI); (+)-Amethopterin; 4-Amino-10-methylfolic acid;Metotrexato"
59-14-3,"Uridina, 5-bromo-2'-desoxi -",C9H11BrN2O5,"(+)-5-Bromo-1-[(2R, 4S, 5R)-4-hidroxi-5-(hidroximetil) oxolan-2-il] pirimidina-2 ,4-diona; 2'-deoxi-5-bromouridine ;  5-Bromo-2'-desoxiuridina; 5-Bromo-2''''-deoxyuridine; 5-Bromo-2''''-desoxyuridine; 5-Bromodeoxyuridine; 5-Bromodesoxyuridine; 5-Bromouracil deoxyriboside; 5-Bromouracil-2-deoxyriboside; BDU; BRUDR; BUdR; BrdU; BrdUrd; Bromodeoxyuridine; Broxuridine; NSC 38297;(+)-5-Bromo-1-[(2R4S5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-24-dione; 2''''-Deoxy-5-bromouridine; 5-BDU;3-(alfa-Acetonilbencil)-4-hidroxicumarina (Warfarina); 3-(alfaacetonil-4-clorobencil)-4-hidroxicumarina (Cumaclor)."
59-23-4,D-galactosa,C6H12O6,"Galactosa, D- (+)-galactosa, D-(+)-galactosa, galactosa; Galactose;Galactose D- (8CI); (+)-Galactose; D-(+)-Galactose;a galactosa"
59-30-3,"Ácido L-glutámico, N-[4 - [[(2-amino-3 ,4-dihidro-4-oxo-6-pteridinil) metil] amino] benzoil] -",C19H19N7O6,"ácido fólico ;  L-ácido glutámico, N-[4 - [[(2-amino-1 ,4-dihidro-4-oxo-6-pteridinil) metil] amino] benzoil]-;  pteroil-L-ácido glutámico; Aspol; Cytofol; Dosfolat B activ; Folacid; Folacin; Folbal; Folcidin; Foldine; Folettes; Foliamin; Folicet; Folipac; Folnak; Folovit; Folsan; Folsaure; Folsav; Folvite; Incafolic; Millafol;NSC 3073;PGA;Pteroyl-L-glutamic acid;Pteroyl-L-monoglutamic acid;Pteroylglutamic acid;Pteroylmonoglutamic acid;Vitamin Bc;Vitamin Be;Vitamin M;Folic acid (8CI); L-Glutamic acid N-[4-[[(2-amino-14-dihydro-4-oxo-6-pteridinyl)methyl]amino]benzoyl]- (9CI); Acifolic;Acido folico"
59-33-6,"1,2-Etanodiamina, N1-[(4-metoxifenil) metil]-N2, N2-dimetil-N1-2-piridil-, (2Z)-2-butenodioato (1:1)",C17H23N3O.C4H4O4,"1,2-etanodiamina, N-[(4-metoxifenil) metil]-N ', N'-dimetil-N-2-piridil-, (2Z)-2-butenedioate (1:1); 1, 2-etanodiamina, N-[(4-metoxifenil) metil]-N ', N'-dimetil-N-2-piridil-, (Z)-2-butenedioate(1:1);  piridina,2-[[2-(dimetilamino) etil] (p-metoxibencil) amino]-, maleato(1:1);  2-[(2-dimetilaminoetilo) (p-metoxibencil) amino]-maleato de piridina; 2-[[2-(dimetilamino) etil] (p-metoxibencil) amino] Bimaleate piridina; 2-[(2-Dimethylaminoethyl)(p-methoxybenzyl)amino]-pyridine maleate; 2-[[2-(Dimethylamino)ethyl](p-methoxybenzyl)amino]pyridine Bimaleate; AH; Anisopyradamine; Antamine; Anthisan maleate; Antihist; Antisan; Diaminide maleate; Enrumay; Histalet Forte; Histalon; Histan; Histapyran; Histatex; Histavet P; Mepyramine hydrogen maleinate; Mepyramine maleate; Minihist; N-p-Methoxybenzyl-N'''' N'-dimethyl-N-alpha -pyridylethylenediamine maleate; NSC 3604;Neo-Antergan maleate;Neoantergan maleate;Paramal;Paraminyl;Paraminyl maleate;Parmal;Prefrin A;Pymafed;Pyra Maleate;Pyramal;Pyranilamine maleate;Pyraninyl;Py;Maleato de mepiramina"
59-42-7,"Benzenemetanol, 3-hidroxi-alfa- [(metilamino) metil] -, ( AlfaR) -",C9 H13 N O2,"Benzenemetanol, 3-hidroxi-.alfa .- [(metilamino) metil] -, (R) -;Alcohol bencílico, m-hidroxi-.alfa .- [(metilamino) metil] -, (-) - (7CI, 8CI);á(-)-Fenilefrina;á(-)-M-hidroxi-.alfa .- (metilaminometil) alcohol bencílico;á(-)-M-Oxedrine;á(-)-M-Synefrine;á(R )-(-)- fenilefrina;á(R)-fenilefrina;áL-fenilefedrine;áMesaton;áMesatone;áMetaoxedrin;áMetaoxedrine;áMetasympatol;áMetasynefrine;áMezaton;áNeo-Synefrine;áFenilefrina;áR (-)-Mezaton;áVisadron;ál-fenilefrina;álm-hidroxi-.alfa .- [(metilamino) metil] bencil alcohol;ám-metilaminoetanolfenol;ám-Oxedrine;ám-Sympathol;ám-Sympatol;ám-Synefrine; (-)-Phenylephrine; (-)-m-Hydroxy-alpha -(methylaminomethyl)benzyl alcohol; (-)-m-Oxedrine; (-)-m-Synephrine; (R)-(-)-Phenylephrine; (R)-Phenylephrine; L-Phenylephedrine; Mesaton; Mesatone; Metaoxedrin; Metaoxedrine; Metasympatol; Metasynephrine; Mezaton; Neo-Synephrine; Phenylephrine; R(-)-Mezaton; Visadron; l-Phenylephrine; l-m-Hydroxy-alpha -[(methylamino)methyl]benzyl alcohol; m-Methylaminoethanolphenol; m-Oxedrine;m-Symp;Bitartato de fenilefrina"
59-43-8,"Tiazolio, 3 - [(4-amino-2-metil-5-pirimidinil) metil] -5 - (2-hidroxietil)-4-metil-cloruro (1:1)",C12H17N4OS.Cl,"Tiamina ; tiazolium,3-[(4-amino-2-metil-5-pirimidinil) metil]-5-(2-hidroxietil)-4-metil-cloro;  3-[(4-amino -2-metil-5-pirimidinil) metil]-5-(2-hidroxietil)-4-metiltiazolio cloruro;  vitamina B1; Aneurine; Apatate Drape; Beivon; Bethiamin; Oryzanin; Thiacoat; Thiamin; Thiamine monochloride; Vitamin B1; Vitaneurin;Thiamine (8CI); Thiazolium 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methyl- chloride (9CI); 3-[(4-Amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methylthiazolium chloride;Tiamina"
59-47-2,"1,2-propanodiol, 3 - (2-metilfenoxi) -",C10 H14 O3,"1,2-propanodiol, 3 - (o-tolyloxi) - (8CI);á(+-)-Mefenesin;á1,2-dihidroxi-3-(2-metilfenoxi) propano;á3 - (2-metilfenoxi) propano-1 ,2-diol;á3 - (2-Tolyloxi) -1,2-propanodiol;á3 - (o-metilfenoxi) -1,2-propanodiol;á3 - (o-Tolyloxi) -1,2-propanodiol;á3-o-Toloxi-1 ,2-propanodiol;áAtensin;áAvosyl;áAvoxil;áBDH 312;áCresoxidiol;áCresoxipropanediol;áCurythan;áDaserd;áDaserol;áDecontractil;áDioloxol;Glicerina o-tolilo éter;áGlykresin;áGlyotol;áKinavosyl;áLiáefen;áMemfenesin;áMefedan;áMefelor;áMefenesin;áMefenesine;áMefensin;áMeferol;áMefesin;áMefin;áMefson;áMervaldin;áMyanesin;áMyanol;áMyasin;áMycocuran;áMyodetensin;áMyodetensine;áMyolysin;áMyopan;áMyoserol;áMyoten;áMyoxane; 1 2-Dihydroxy-3-(2-methylphenoxy)propane; 3-(2-Methylphenoxy)propane-1 2-diol; 3-(2-Tolyloxy)-1 2-propanediol; 3-(o-Methylphenoxy)-1 2-propanediol; 3-(o-Tolyloxy)-1 2-propanediol; 3-o-Toloxy-1 2-propanediol; Atensin; Avosyl; Avoxyl; BDH 312; Cresoxydiol; Cresoxypropanediol; Curythan; Daserd; Daserol; Decontractyl; Dioloxol; Glyceryl o-tolyl ether;;3-(2-Metilfenoxi)-1,2-propanodiol (mefenesina)."
59-50-7,"Fenol, 4-cloro-3-metil -",C7H7ClO,"m-Cresol, 4-cloro-;  1-Cloro-2-metil-4-hidroxibenceno; 2-cloro-5-hidroxitolueno; 3-metil-4-clorofenol; 4-cloro-3-cresol; 4-cloro-3-metil;  para-cloro-meta-cresol; 3-Methyl-4-chlorophenol; 4-Chloro-3-cresol; 4-Chloro-3-methylphenol; 4-Chloro-5-methylphenol; 4-Chloro-m-cresol; 6-Chloro-3-hydroxytoluene; Aldecoc XD; Aptal; Baktol; Baktolan; Candaseptic; Chlorocresol; NSC 4166; Neopredisan; Ottafact; PCMC; Parmetol; Parol; Peritonan; Preventol CMK; Raschit;Raschit K;Rasen-Anicon;p-Chloro-m-cresol;para-Chloro-meta-cresol;m-Cresol 4-chloro- (8CI); 1-Chloro-2-methyl-4-hydroxybenzene; 2-Chloro-5-hydroxytoluene;4-cloro-M-cresol"
59-51-8,Metionina,C5 H11 N O2 S,DL-Methionine;Methionine  DL- (8CI);(˜)-Methionine;Acimetion;Amurex;Banthionine;Cynaron;DL-2-Amino-4-(methylthio)butyric acid;Dyprin;Lactet;Lobamine;Meonine;Meprom M 85;Methilanin;Metione;NSC 9241;Neston;Pedameth;Racemethionine;Rhodimet NP 99;Smartamine;Smartamine M;Timet;Urimeth;Nulo
59-61-0,"Benzenemetanol, 3,4-dicloro-alfa-[[(1-metiletil) amino] metil] -",C11 H15 Cl2 N O,"Alcohol bencílico, 3,4-dicloro-.Alfa .- [(isopropilamino) metil] - (8CI);á(+-) -3 ', 5'-Dicloroisoproterenol;á(+-)-Diclorisoproterenol;á(+-)-Dicloroisoproterenol;á1 - (3,4-diclorofenil)-1-hidroxi-2-isopropilaminoetane;á1 - (3, 4'-diclorofenil)-2-isopropilaminoetanol;á3,4-dicloro-.Alfa .- [(isopropilamino) metil] bencil alcohol;á3,4-Dicloroisopropilnoradrenaline;á3,4-Dicloroisoproterenol;áDiclorisoprenaline;áDiclorisoproterenol;áDicloroisoprenaline;áDicloroisopropilarterenol;áDicloroisopropilnoradrenaline;áDicloroisoproterenol;áIsoproterenol, dicloro-; (+-)-Dichlorisoproterenol; (+-)-Dichloroisoproterenol; 1-(3 4-Dichlorophenyl)-1-hydroxy-2-isopropylaminoethane; 1-(3'''' 4'-Dichlorophenyl)-2-isopropylaminoethanol;20522; 3 4-Dichloro-alpha -[(isopropylamino)methyl]benzyl alcohol; 3 4-Dichloroisopropylnoradrenaline; 3 4-Dichloroisoproterenol; DCI; DCI (pharmaceutical); Dichlorisoprenaline; Dichlorisoproterenol; Dichloroisoprenaline; Dichloroisopropylarterenol; Dichloroisopropylnoradrenaline; Dichloroisoprotereno;Alobarbital (DCI), amobarbital (DCI), barbital (DCI), butalbital (DCI), butobarbital, ciclobarbital (DCI), fenobarbital (DCI), metilfenobarbital (DCI), pentobarbital (DCI), secbutabarbital (DCI), secobarbital (DCI), y vinilbital (DCI); sales de estos productos.  "
59-63-2,"Ácido 3-Isoxazolcarboxilico, 5-metil-, 2 - (fenilmetil) Hidrazida",C12 H13 N3 O2,"Ácido 3-Isoxazolcarboxilico,5-metil-,2-benzilhidrazida; 1-bencil-2-(5-metil-3-isoxazolil-carbonil) hidrazina;  5-metil-3-ácido isoxazolcarboxilico 2-benzilhidrazida; 5-Methyl-3-isoxazolecarboxylic acid 2-benzylhydrazide; BMIH; Benazide; Enerzer; Isocarboxazid; Isocarboxazide; Isocarboxyzid; Marplan; Marplon; NSC 169893; N''''-Benzyl N-methyl-5-isoxazolecarboxylhydrazide-3; Ro 5-0831;3-Isoxazolecarboxylic acid 5-methyl- 2-benzylhydrazide (6CI7CI8CI); 1-Benzyl-2-(5-methyl-3-isoxazolyl-carbonyl)hydrazine;ISOCARBOXAZIDA"
