100-00-5;1-Chloro-4-nitrobenzene
628-94-4;Hexanediamide
628-96-6;"1,2-Ethanediol, 1,2-dinitrate"
6280-99-5;"Butanedioic acid, hydroxy-, dibutyl ester, -"
6281-42-1;"2-Imidazolidinone, 1--"
6284-40-8;"-6-(methylamino)hexane-1,2,3,4,5-pentol"
62880-93-7;"1-Propanesulfonic acid, 2-methyl-2-[[1-oxo-3-[thio]propyl]amino]-, sodium salt (1:1)"
6289-46-9;"1,4-Cyclohexanedicarboxylic acid, 2,5-dioxo-, 1,4-dimethyl ester"
629-11-8;"1,6-Hexanediol"
629-14-1;"Ethane, 1,2-diethoxy-"
629-15-2;"1,2-Ethanediol, diformate"
629-17-4;"Thiocyanic acid, C,C'-1,2-ethanediyl ester"
629-19-6;"4,5-Dithiaoctane"
629-25-4;"Dodecanoic acid, sodium salt"
629-50-5;N-Tridecane
629-59-4;n-Tetradecane
629-62-9;Pentadecane
629-70-9;Cetyl acetate
629-73-2;1-Hexadecene
629-76-5;1-Pentadecanol
629-79-8;Hexadecanenitrile
629-82-3;"Octane, 1,1'-oxybis-"
629-96-9;1-Eicosanol
6290-03-5;"1,3-Butanediol, -"
6290-05-7;"Glycine, N--, ethyl ester"
6290-49-9;Methyl 2-methoxyacetate
6294-31-1;"Hexane, 1,1'-thiobis-"
6294-34-4;"Phosphonic acid, -, bis(2-chloroethyl) ester"
6295-57-4;"Acetic acid, 2--"
630-08-0;Carbon monoxide
630-10-4;Selenourea
630-20-6;"1,1,1,2-Tetrachloroethane"
6300-50-1;"2-Naphthalenesulfonic acid, 7-amino-4-hydroxy-3-[[4-[azo]phenyl]azo]-, disodium salt"
630106-00-2;"Siloxanes and Silicones, di-Me, Me vinyl, hydroxy-terminated, reaction products with silica"
630106-01-3;"Siloxanes and Silicones, Me vinyl, hydroxy-terminated, reaction products with silica"
630106-02-4;"Siloxanes and Silicones, Me vinyl, hydroxy-terminated, reaction products with [oxy]-modified silica"
630106-04-6;"Siloxanes and Silicones, di-Me, Me vinyl, hydroxy-terminated, reaction products with [oxy]-modified silica"
63022-06-0;"Xanthylium, 9-[2-phenyl]-3,6-bis(ethylamino)-2,7-dimethyl-, molybdatesilicate"
6303-21-5;Hypophosphorous
6304-39-8;"Octanoic acid, hydrazide"
6305-04-0;"Ethanone, 2-chloro-1--"
63059-78-9;"Isooctadecanamide, N,N'-1,2-ethanediylbis-"
63089-86-1;"Poly, alpha-hydro-omega-hydroxy-, ether with D-glucitol (6:1), tetra-(9Z)-9-octadecenoate"
63089-87-2;"Poly, .alpha.,.alpha.'-[(4,4-dimethyl-2,5-d ioxo-1,3-imidazolidinediyl)di-2,1-e thanediyl]bis[.omega.-hydroxy-, mono[(9Z)-9-octadecenoate] (ester)"
6309-51-9;Isoamyl laurate
631-61-8;"Acetic acid, ammonium salt"
63133-74-4;"Acetonitrile, 2-[ethylamino]-"
63134-33-8;"Phenol, 4-[[4-phenyl]sulfonyl]-"
63141-09-3;1-ethanone
63148-57-2;"Siloxanes and Silicones, Me hydrogen"
63148-62-9;Polydimethylsiloxanes
63148-65-2;"Vinyl acetal polymers, butyrals"
63150-07-2;"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with eicosyl 2-methyl-2-propenoate, hexadecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate, pentadecyl 2-met"
63157-72-2;"Methylium, tris[4-phenyl]-, acetate"
63180-06-3;"Bicyclo[2.2.1]heptan-2-one, 3--1,7,7-trimethyl-, (1R,4S)-"
632-22-4;"Urea, N,N,N',N'-tetramethyl-"
632-79-1;"4,5,6,7-Tetrabromo-1,3-Isobenzofurandione"
63217-13-0;"Butanedioic acid, 2-sulfo-, 1,4-bis ester, sodium salt (1:1)"
63225-53-6;"2-Propenoic acid, 2-[[carbonyl]oxy]ethyl ester"
63231-60-7;"Paraffin waxes and Hydrocarbon waxes, microcryst."
63231-67-4;Silica gel
6328-48-9;"Propanenitrile, 3--"
63302-43-2;"1,4-Benzenediamine, N--"
63302-49-8;"Phosphorochloridous acid, bis ester"
63302-64-7;"3-Cyclohexene-1-carboxylic acid, 2-ethylhexyl ester"
63310-16-7;"9-Octadecenoic acid -, monoester with 1,2,3-propanetriol ester with boric acid (H3BO3)"
63314-23-8;"Acetic acid, 2--"
63314-79-4;"5-Cyclopentadecen-1-one, 3-methyl-"
63316-33-6;"Benzenesulfonic acid, 3,3'-sulfonylbis-, potassium salt "
63316-43-8;"Benzenesulfonic acid, 3--, potassium salt (1:1)"
63390-58-9;63390-58-9
63393-82-8;"alcohols, C12-15"
63393-89-5;Coumarone-indene resins
63393-93-1;"Fatty acids, lanolin, iso-Pr esters"
63393-96-4;"Quaternary ammonium compounds, tri-C-alkylmethyl-, chlorides"
63428-86-4;"Poly, .alpha.-sulfo-.omega.-(hexyloxy)-, ammonium salt (1:1)"
63428-97-7;"Benzenesulfonic acid, dodecyldimethyl-, sodium salt "
63441-26-9;"9-Octadecenamide, N- 2- 2--4,5-dihydro-1H-imidazol-1-yl ethyl -, (Z,Z)-"
63449-39-8;"Paraffin waxes and Hydrocarbon waxes, chloro"
63449-41-2;"Quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides"
63449-72-9;"2-Propanamine, N--, sulfate (2:1)"
63449-95-6;"Cyclohexanol, 4--, 1-propanoate"
63451-47-8;"Zinc, hydroxy-"
63466-92-2;"Poly, .alpha.-hydro-.omega.-hydroxy-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-p ropanediol (3:1), phosphate"
63469-23-8;"2-propanol, 1,1'-[[3-propyl]imino]bis-"
635-46-1;"1,2,3,4-Tetrahydroquinoline"
63500-71-0;Florol
63502-25-0;"Phosphorium, tetrakis-, sulfate (2:1) (salt), polymer with urea"
63512-36-7;"5,8,11,14-Tetraoxaoctadecane"
63512-64-1;"Naphthalene, diisononyl-"
63512-71-0;"Formaldehyde, polymer with ammonia and chloroethane"
63562-34-5;"Butanedioic acid, 2-[methyl]-, 1,4-bis(2-hydroxyethyl) ester"
63568-32-1;"Naphthalenedisulfonic acid, diisononyl-, compd. with 4,4-dimethyloxazolidine "
63568-35-4;"Naphthalenedisulfonic acid, diisononyl-, compd. with 1,1'-iminobis[2-propanol] "
6358-30-1;"Diindolo[3,2-b:3',2'-m]triphenodioxazine, 8,18-dichloro-5,15-diethyl-5,15-dihydro-"
6358-31-2;"Butanamide, 2-[azo]-N-(2-methoxyphenyl)-3-oxo-"
6358-64-1;"Benzenamine, 4-chloro-2,5-dimethoxy-"
6358-69-6;C.I. Solvent Green 7
6358-80-1;"Trisodium;-4-amino-3-[[4-[4-[(2E)-2-[2-(2-methylanilino)-4-oxocyclohexa-2,5-dien-1-ylidene]hydrazinyl]phenyl]phenyl]diazenyl]-5-oxo-6-[(4-sulfonatophenyl)hydrazinylidene]naphthalene-2,7-disulfonate"
6358-85-6;C.I. Pigment Yellow 12
6358-87-8;"1H-Pyrazole-3-carboxylic acid, 4,4'-[bis(azo)]bis[4,5-dihydro-5-oxo-1-phenyl-, diethyl ester"
63589-10-6;"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[amino]-9,10-dioxo-, sodium salt (1:1)"
63589-25-3;"1-Naphthalenesulfonic acid, 4-diazo-3,4-dihydro-7-nitro-3-oxo-"
6359-10-0;"Disodium 2-xanthen-7-yl)benzoate"
6359-83-7;"Benzoic acid, 2-[2-[4,5-dihydro-3-methyl-5-oxo-1--1H-pyrazol-4-yl]diazenyl]-, sodium salt (1:2)"
6359-98-4;C.I. Acid Yellow 17
636-21-5;"Benzenamine, 2-methyl-, hydrochloride "
6360-29-8;"Trisodium;-3-[[4-[4-[[4-[(4-amino-7-sulfonatonaphthalen-1-yl)diazenyl]-6-sulfonatonaphthalen-1-yl]diazenyl]phenyl]phenyl]hydrazinylidene]-6-oxocyclohexa-1,4-diene-1-carboxylate"
6360-54-9;"Disodium;-3-[[4-[4-[[2,6-diamino-3-methyl-5-[(4-sulfonatophenyl)diazenyl]phenyl]diazenyl]phenyl]phenyl]hydrazinylidene]-5-methyl-6-oxocyclohexa-1,4-diene-1-carboxylate"
6362-79-4;"1,3-Benzenedicarboxylic acid, 5-sulfo-, monosodium salt"
6362-80-7;"Benzene, 1,1'-bis-"
6364-17-6;"2,2-Dimethyl-2,3-dihydroperimidine"
63654-41-1;"1-Propene, 1,1,2,3,3,3-hexafluoro-, polymer with 1,1,1,2,2,3,3-heptafluoro-3-[oxy]propane and 1,1,2,2-tetrafluoroethene"
63658-45-7;"Oxirane, 2-methyl-, polymer with oxirane, pentadecyl ether"
637-12-7;Aluminum stearate
637-39-8;"Ethanol, 2,2',2''-nitrilotris-, hydrochloride"
637-89-8;p-Mercaptophenol
637-92-3;Ethyl T-butyl ether
6372-42-5;"Phosphine, cyclohexyldiphenyl-"
63721-05-1;"4-Pentenoic acid, 3,3-dimethyl-, methyl ester"
63734-62-3;"Benzoic acid, 3-[2-chloro-4-phenoxy]-"
63738-22-7;"1,3-Benzenedimethanamine, N,N,N',N'-tetrakis-"
63741-10-6;"Benzenamine, N--4-[2-(2,6-dichloro-4-nitrophenyl)diazenyl]-N-ethyl-3-methyl-"
63744-68-3;"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate"
63753-10-6;"Benzaldehyde, 2-hydroxy-5-nonyl-"
63767-86-2;"Cyclohexanemethanol, .alpha.-methyl-4--"
63774-55-0;Aluminum barium magnesium oxide
6378-65-0;"Hexanoic acid, hexyl ester"
638-16-4;"1,3,5-Triazine-2,4,6-trithione"
638-21-1;Phenylphosphine
638-38-0;Manganese acetate
638-41-5;"Carbonochloridic acid, pentyl ester"
638-65-3;Octadecanenitrile
638-79-9;"Pentane, 1,1,1,2,2,3,3,4,4,5,5-undecafluoro-5-iodo-"
63800-37-3;Sepiolite 2(Si2O5)3.6H2O)
638003-73-0;"Hydrated magnesium silicate,Hydrated magnesium silicate, organically modified"
6381-63-1;".beta.-Alanine, N--, calcium salt (2:1)"
6381-77-7;Sodium erythorbate
6381-79-9;Potassium carbonate sesquihydrate
6381-92-6;Ethylenediaminetetraacetic acid disodium salt dihydrate
63833-78-3;"3-Pyridinecarbonitrile, 5-[2-diazenyl]-6-[(2-hydroxyethyl)amino]-4-methyl-2-[[3-(2-phenoxyethoxy)propyl]amino]-"
63843-89-0;"Propanedioic acid, [[3,5-bis-4-hydroxyphenyl]methyl]butyl-, bis(1,2,2,6,6-pentamethyl-4-piperidinyl) ester"
6386-38-5;"Benzenepropanoic acid, 3,5-bis-4-hydroxy-, methyl ester"
63863-43-4;"Propanoic acid, 3-[1-[difluoro[oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-2,2,3,3-tetrafluoro-, methyl ester"
63863-44-5;"Propanoic acid, 3-[1-[difluoro[oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-2,2,3,3-tetrafluoro-, methyl ester, polymer with 1,1,2,2-tetrafluoroethene"
63891-98-5;"Benzoic acid, 2,5-dichloro-, sodium salt "
639-58-7;"Stannane, chlorotriphenyl-"
6390-69-8;"[1,1'-Biphenyl]-2,2'-diol, 3,3',5,5'-tetrakis-"
63936-56-1;"1,2,3,4,5-Pentabromo-6-benzene"
63938-10-3;Chlorotetrafluoroethane
63942-44-9;"Ethanimidothioic acid, N,N'-[thiobis[carbonyloxy]]bis[2-(dimethylamino)-2-oxo-, dimethyl ester"
63947-56-8;"Propanol, mercapto-"
63950-02-7;C.I.Direct Blue 199
640-19-7;"Acetamide, 2-fluoro-"
640-67-5;Manganese oxalate
64001-15-6;"4,7-Methano-1H-inden-5-ol, octahydro-, acetate"
64022-61-3;"1,2,3,4-Butanetetracarboxylic acid, tetrakis ester"
64051-29-2;"Phosphonic acid, di-9-octadecenyl ester"
64051-38-3;"Phenol, dipentyl-, 1,1'-"
64051-50-9;"2,5-Pyrrolidinedione, 1,1'-[iminobis]bis[3-(octadecenyl)-"
6408-50-0;"9,10-Anthracenedione, 1--4-[(3-methylphenyl)amino]-"
6408-63-5;C.I. Acid Violet 34
6408-72-6;"9,10-Anthracenedione, 1,4-diamino-2,3-diphenoxy-"
6408-78-2;C.I. Acid Blue 25
6408-80-6;C.I. Acid Blue 145
6410-29-3;"2-Naphthalenecarboxamide, 3-hydroxy-4-[2-[2-methoxy-5-[carbonyl]phenyl]diazenyl]-N-phenyl-"
6413-10-1;"1,3-Dioxolane-2-acetic acid, 2-methyl-, ethyl ester"
64147-40-6;"Castor oil, dehydrated"
64157-14-8;"Titanate, tetrakis[2,2-bis[(2-propenyloxy)methyl]-1-butanolato-.kappa.O]bis(ditridecyl phosphito-.kappa.O'')-, hydrogen (1:2)"
6417-83-0;"2-Naphthalenecarboxylic acid, 3-hydroxy-4-[2-diazenyl]-, calcium salt (1:1)"
6417-85-2;"Spiro[isobenzofuran-1,9'-[ 9H]xanthen]-3-one, 3',6'-dihydroxy-, potassium salt (1:2)"
6419-19-8;Aminotrimethylene phosphonic acid
64194-22-5; prop-2-enoate
6420-33-3;"1,5-Naphthalenedisulfonic acid, 3,3'-[carbonylbis[iminoazo]]bis-, tetrasodium salt"
6422-83-9;"1H-Pyrrole-2,5-dione, 1,1'-bis-"
6422-86-2;Bis terephthalate
6424-85-7;C.I. Acid Blue 40
6425-39-4;"4,4'-bis(morpholine)"
64253-30-1;"Propanoic acid, 3--, oxybis(2,1-ethanediyloxy-2,1-ethanediyl) ester"
64265-57-2;"1-Aziridinepropanoic acid, 2-methyl-, 2-ethyl-2-[[3--1-oxopropoxy]methyl]-1,3-propanediyl ester"
6428-31-5;C.I. Direct Black 19
642928-30-1;"Distillates , hydroisomerized middle, C10-13-branched alkane fraction"
643-38-9;"2,3-Quinolinedecarboxylic acid"
64325-78-6;"Adenosine, N-benzoyl-5'-O-[bisphenylmethyl]-2'-deoxy-"
64338-16-5;"7-Oxa-3,20-diazadispiro[5.1.11.2]heneicosan-21-one, 2,2,4,4-tetramethyl-"
64346-91-4;"Ethanesulfonamide, N--2-[1-[difluoro[(1,2,2-trifluoroethenyl)oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoro-, polymer with 1,1,2,2-tetrafluoroethene"
64354-92-3;"Propanenitrile, 3--"
64365-17-9;"Resin acids and Rosin acids, hydrogenated, esters with pentaerythritol"
64366-70-7;"Oxirane, methyl-, polymer with oxirane, mono ether"
64382-00-9;"Octane, 1,8-dibromo-1,1,2,2-tetrafluoro-"
644-97-3;Phenyl phosphorus dichloride
6440-58-0;"2,4-Imidazolidinedione, 1,3-bis-5,5-dimethyl-"
64417-98-7;Yttrium zirconium oxide
64425-86-1;"alcohols, C9-11, ethoxylated, alcohols, C8-10, ethoxylated, Alcohols, C12-13, ethoxylated, alcohols, C12-13, ethoxylated, alcohols, C13-15, ethoxylated, Alcohols, C13-15, ethoxylated, sulfuric acid, monooctyl ester, sodium salt, sulfonic acids, C13-18-alk"
64440-88-6;"Zinc, bis[?-[[N,N'-1,2-ethanediylbis[carbamodithioato-?S,?S']](2-)]]di-"
64448-68-6;"2-Propenoic acid, 1,1'-[methylenebis[4,1-phenyleneoxy]] ester"
64475-85-0;Mineral spirits
6448-95-9;"2-Naphthalenecarboxamide, 3-hydroxy-4-[azo]-N-phenyl-"
6448-96-0;"2-Naphthalenecarboxamide, 3-hydroxy-4-[2-[2-methoxy-5-[carbonyl]phenyl]diazenyl]-N-(3-nitrophenyl)-"
64499-64-5;"1,3-Dioxolane, 4,4,5,5-tetrafluoro-2,2-bis-"
64499-83-8;"1,3-Dioxolane, 4,5-dichloro-4,5-difluoro-2,2-bis-, trans-"
645-62-5;"2-Hexenal, 2-ethyl-"
64536-06-7;"Benzene, ethenyl-, polymer with 1-methyl-4-cyclohexene"
64539-51-1;Zinc oxide phosphonate )
6459-94-5;"1,3-Naphthalenedisulfonic acid, 8-[2-[3,3'-dimethyl-4'-[2-[4-[[sulfonyl]oxy]phenyl]diazenyl][1,1'-biphenyl]-4-yl]diazenyl]-7-hydroxy-, sodium salt (1:2)"
646-06-0;"1,3-Dioxalane"
646-13-9;Isobutyl stearate
646-25-3;"1,10-Decanediamine"
64628-44-0;Triflumuron
64653-59-4;"Benzenamine, 2-ethyl-N--"
64654-05-3;"1-Naphthalenamine, N--"
64665-57-2;"1H-Benzotriazole, 4-methyl-, sodium salt"
64667-33-0;"Hexanoic acid, 4,6,6,6-tetrachloro-3,3-dimethyl-, methyl ester"
64683-40-5;"2-Naphthalenesulfonic acid, 7-amino-4-hydroxy-3-[2-[4-[azo]phenyl]diazenyl]-, compd. with 2,2',2''-nitrilotris[ethanol] (1:2)"
647-42-7;"1-Octanol, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-"
6470-20-8;"Disodium,2-[4-[diazenyl]-2-sulfonatophenyl]-5-[(2Z)-2-(2-oxonaphthalen-1-ylidene)hydrazinyl]benzenesulfonate"
64700-56-7;Triclopyr-butotyl
64704-32-1;"Nonanoic acid, 1,1'-[2-[[3-[oxy]-2,2-b is[[(1-o xononyl)oxy]methyl]propoxy]methyl]-2-[ [(1-oxononyl)oxy]methyl]-1,3-p ropanediyl] ester"
6471-01-8;"2-Anthracenesulfonic acid, 4,4'-[bis(4,1-phenyleneimino)]bis[1-amino-9,10-dihydro-9,10-dioxo-, sodium salt (1:2)"
6471-49-4;"2-Naphthalenecarboxamide, 3-hydroxy-4-[2-diazenyl]-N-(3-nitrophenyl)-"
6471-78-9;"Benzenesulfonic acid, 4-amino-5-methoxy-2-methyl-"
64712-27-2;"Propane, 1,1-dichloro-1,3,3,3-tetrafluoro-"
64723-18-8;"L-Aspartic acid, homopolymer, potassium salt"
6473-13-8;"2-Naphthalenesulfonic acid, 6-[azo]-3-[[4-[[4-[[7-[(2,4-diaminophenyl)azo]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]phenyl]amino]-3-sulfophenyl]azo]-4-hydroxy-, trisodium salt"
64741-41-9;"Naphtha, petroleum, heavy straight-run"
64741-42-0;"Naphtha, petroleum, full-range straight-run"
64741-43-1;"Gas oils, petroleum, straight-run"
64741-44-2;"Distillates, petroleum, straight-run middle"
64741-45-3;"Residues, petroleum, atm. tower"
64741-46-4;"Naphtha, petroleum, light straight-run"
64741-47-5;"Natural gas condensates, petroleum"
64741-48-6;"Natural gas , raw liq. mix"
64741-49-7;"Condensates, petroleum, vacuum tower"
64741-50-0;"Distillates, petroleum, light paraffinic"
64741-51-1;"Distillates, petroleum, heavy paraffinic"
64741-52-2;"Distillates, petroleum, light naphthenic"
64741-53-3;"Distillates, petroleum, heavy naphthenic"
64741-54-4;"Naphtha, petroleum, heavy catalytic cracked"
64741-55-5;"Naphtha, petroleum, light catalytic cracked"
64741-56-6;"Residues, petroleum, vacuum"
64741-57-7;"Gas oils, petroleum, heavy vacuum"
64741-58-8;"Gas oils, petroleum, light vacuum"
64741-59-9;"Distillates, petroleum, light catalytic cracked"
64741-60-2;"Distillates, petroleum, intermediate catalytic cracked"
64741-61-3;"Distillates, petroleum, heavy catalytic cracked"
64741-62-4;"Clarified oils, petroleum, catalytic cracked"
64741-63-5;"Naphtha, petroleum, light catalytic reformed"
64741-64-6;"Naphtha, petroleum, full-range alkylate"
64741-65-7;"Naphtha, petroleum, heavy alkylate"
64741-66-8;"Naphtha, petroleum, light alkylate"
64741-67-9;"Residues, petroleum, catalytic reformer fractionator"
64741-68-0;"Naphtha, petroleum, heavy catalytic reformed"
64741-69-1;"Naphtha, petroleum, light hydrocracked"
64741-70-4;"Naphtha, petroleum, isomerization"
64741-71-5;"Polymers, petroleum, viscous"
64741-72-6;"Naphtha, petroleum, polymn."
64741-73-7;"Distillates, petroleum, alkylate"
64741-74-8;"Naphtha, petroleum, light thermal cracked"
64741-75-9;"Residues, petroleum, hydrocracked"
64741-76-0;"Distillates, petroleum, heavy hydrocracked"
64741-77-1;"Distillates, petroleum, light hydrocracked"
64741-78-2;"Naphtha, petroleum, heavy hydrocracked"
64741-79-3;"Coke, petroleum"
64741-80-6;"Residues, petroleum, thermal cracked"
64741-81-7;"Distillates, petroleum, heavy thermal cracked"
64741-82-8;"Distillates, petroleum, light thermal cracked"
64741-83-9;"Naphtha, petroleum, heavy thermal cracked"
64741-84-0;"Naphtha, petroleum, solvent-refined light"
64741-85-1;"Raffinates, petroleum, sorption process"
64741-86-2;"Distillates, petroleum, sweetened middle"
64741-87-3;"Naphtha, petroleum, sweetened"
64741-88-4;"Distillates, petroleum, solvent-refined heavy paraffinic"
64741-89-5;"Distillates, petroleum, solvent-refined light paraffinic"
64741-90-8;"Gas oils, petroleum, solvent-refined"
64741-91-9;"Distillates, petroleum, solvent-refined middle"
64741-92-0;"Naphtha, petroleum, solvent-refined heavy"
64741-95-3;"Residual oils, petroleum, solvent deasphalted"
64741-96-4;"Distillates, petroleum, solvent-refined heavy naphthenic"
64741-97-5;"Distillates, petroleum, solvent-refined light naphthenic"
64741-98-6;"Extracts, petroleum, heavy naphtha solvent"
64741-99-7;"Extracts, petroleum, light naphtha solvent"
64742-01-4;"Residual oils, petroleum, solvent-refined"
64742-03-6;"Extracts , light naphthenic distillate solvent"
64742-04-7;"Extracts, petroleum, heavy paraffinic distillate solvent"
64742-05-8;"Extracts, petroleum, light paraffinic distillate solvent"
64742-06-9;"Extracts, petroleum, middle distillate solvent"
64742-07-0;"Raffinates, petroleum, residual oil decarbonization"
64742-10-5;"Extracts, petroleum, residual oil solvent"
64742-11-6;"Extracts, petroleum, heavy naphthenic distillate solvent"
64742-13-8;"Distillates, petroleum, acid-treated middle"
64742-14-9;"Distillates, petroleum, acid-treated light"
64742-16-1;Petroleum resins
64742-18-3;"Distillates , acid-treated heavy naphthenic"
64742-19-4;"Distillates , acid-treated light naphthenic"
64742-22-9;"Naphtha, petroleum, chem. neutralized heavy"
64742-23-0;"Naphtha, petroleum, chem. neutralized light"
64742-24-1;"Sludges, petroleum, acid"
64742-29-6;"Gas oils , chemically neutralized"
64742-30-9;"Distillates, petroleum, chemically neutralized middle"
64742-31-0;"Distillates , chemically neutralized light"
64742-34-3;"Distillates , chemically neutralized heavy naphthenic"
64742-35-4;"Distillates , chemically neutralized light naphthenic"
64742-36-5;"Distillates , clay-treated heavy paraffinic"
64742-37-6;"Distillates, petroleum, clay-treated light paraffinic"
64742-38-7;"Distillates, petroleum, clay-treated middle"
64742-39-8;"Neutralizing agents , spent sodium carbonate"
64742-40-1;"Neutralizing agents, petroleum, spent sodium hydroxide"
64742-41-2;"Residual oils , clay-treated"
64742-42-3;"Hydrocarbon waxes, petroleum, clay-treated microcryst."
64742-43-4;"Paraffin waxes, petroleum, clay-treated"
64742-44-5;"Distillates , clay-treated heavy naphthenic"
64742-45-6;"Distillates, petroleum, clay-treated light naphthenic"
64742-46-7;"Distillates, petroleum, hydrotreated middle"
64742-47-8;"Distillates, petroleum, hydrotreated light"
64742-48-9;"Naphtha, petroleum, hydrotreated heavy"
64742-49-0;"Naphtha, petroleum, hydrotreated light"
64742-51-4;"Paraffin waxes, petroleum, hydrotreated"
64742-52-5;"Distillates, petroleum, hydrotreated heavy naphthenic"
64742-53-6;"Distillates, petroleum, hydrotreated light naphthenic"
64742-54-7;"Distillates, petroleum, hydrotreated heavy paraffinic"
64742-55-8;"Distillates, petroleum, hydrotreated light paraffinic"
64742-56-9;"Distillates, petroleum, solvent-dewaxed light paraffinic"
64742-57-0;"Residual oils, petroleum, hydrotreated"
64742-58-1;"Lubricating oils, petroleum, hydrotreated spent"
64742-59-2;"Gas oils, petroleum, hydrotreated vacuum"
64742-60-5;"Hydrocarbon waxes, petroleum, hydrotreated microcryst."
64742-61-6;"Slack wax, petroleum"
64742-62-7;"Residual oils, petroleum, solvent-dewaxed"
64742-63-8;"Distillates , solvent-dewaxed heavy naphthenic"
64742-64-9;"Distillates , solvent-dewaxed light naphthenic"
64742-65-0;"Distillates, petroleum, solvent-dewaxed heavy paraffinic"
64742-67-2;"Foots oil, petroleum"
64742-70-7;"Paraffin oils, petroleum, catalytic dewaxed heavy"
64742-71-8;"Paraffin oils, petroleum, catalytic dewaxed light"
64742-72-9;"Distillates , catalytic dewaxed middle"
64742-73-0;"Naphtha, petroleum, hydrodesulfurized light"
64742-76-3;"Naphthenic oils , complex dewaxed light"
64742-78-5;"Residues , hydrodesulfurized atmospheric tower"
64742-79-6;"Gas oils, petroleum, hydrodesulfurized"
64742-80-9;"Distillates, petroleum, hydrodesulfurized middle"
64742-81-0;"Kerosine, petroleum, hydrodesulfurized"
64742-82-1;"Naphtha, petroleum, hydrodesulfurized heavy"
64742-83-2;"Naphtha, petroleum, light steam-cracked"
64742-85-4;"Residues , hydrodesulfurized vacuum"
64742-86-5;"Gas oils, petroleum, hydrodesulfurized heavy vacuum"
64742-87-6;"Gas oils, petroleum, hydrodesulfurized light vacuum"
64742-88-7;"Solvent naphtha, petroleum, medium aliph."
64742-89-8;"Solvent naphtha, petroleum, light aliph."
64742-90-1;"Residues, petroleum, steam-cracked"
64742-91-2;"Distillates, petroleum, steam-cracked"
64742-93-4;"Asphalt, oxidized"
64742-94-5;"Solvent naphtha, petroleum, heavy arom."
64742-95-6;"Solvent naphtha, petroleum, light arom."
64742-96-7;"Solvent naphtha, petroleum, heavy aliph."
64742-98-9;"Distillates , oxidized light"
64742-99-0;"Residual oils, petroleum, oxidized"
64743-00-6;"Hydrocarbon waxes, petroleum, oxidized"
64743-01-7;"Petrolatum, petroleum, oxidized"
64743-02-8;alpha-olefins 
64743-03-9;Phenols 
64743-05-1;"Coke, petroleum, calcined"
64743-06-2;"Extracts , gas oil solvent"
64743-07-3;"Sludges , chemically neutralized"
64748-21-6;"Ethanesulfonamide, N-[2,6-dimethyl-4-[[carbonyl]oxy]phenyl]-"
64754-89-8;"Naphthenic acids , crude"
64754-90-1;"Ethene, homopolymer, chlorinated"
64754-93-4;"Fatty acids, tall-oil, reaction products with polyethylenepolyamines, acetates"
64754-94-5;"Fatty acids, tall-oil, compds. with polyethylenepolyamine-tall-oil fatty acid reaction products"
64754-95-6;"Castor oil, hydrogenated, lithium salt"
64754-98-9;"Fatty acids, coco, reaction products with polyethylenepolyamines"
64754-99-0;"Fatty acids, C18-unsatd., dimers, compds. with polyethylenepolyamine-tall-oil fatty acid reaction products"
64755-01-7;"Fatty acids, tallow, calcium salts"
64755-02-8;"Fatty acids, tallow, lithium salts"
64755-04-0;"Naphthenic acids, reaction products with polyethylenepolyamines"
64771-71-7;"Paraffins, petroleum, normal C>10"
64771-72-8;"Paraffins, petroleum, normal C5-20"
64787-97-9;"Sulfurous acid, monosodium salt, polymer with formaldehyde and 1,3,5-triazine-2,4,6-triamine"
64800-83-5;"Benzene, ethyl-"
6482-41-3;"2-Tetradecanol, hydrogen sulfate, sodium salt"
6483-50-7;"Piperazine, 1,4-diethyl-"
6484-52-2;Ammonium nitrate
6485-34-3;"1,2-Benzisothiazol-3-one, 1,1-dioxide, calcium salt (2:1)"
6485-40-1;l-Carvone
6486-23-3;"Butanamide, 2-[azo]-N-(2-chlorophenyl)-3-oxo-"
6487-39-4;Lanthanum carbonate octahydrate
64900-65-8;2-Chlorobenzenesulfonyl isocyanate
64902-72-3;Chlorsulfuron
649574-37-8;"Silica, [tris(oxy)]-modified"
64969-34-2;"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, sulfate "
64972-18-5;".beta.-Alanine, N--N-[3-(octyloxy)propyl]-, sodium salt (1:1)"
64972-19-6;"beta.-Alanine, N--N-[3-(decyloxy)propyl]-, monosodium salt"
650-51-1;"Acetic acid, 2,2,2-trichloro-, sodium salt "
